ttf-freefont 20120503-4
ttf-hannom 2005-4
ttf-indic-otf 0.2-8
ttf-junicode 0.7.8-3
ttf-khmer 5.0-5
ttf-linux-libertine 5.3.0-3
ttf-mph-2b-damase 001.000.4.dfsg.2-6
ttf-oxygen 1:5.4.3-1
ttf-sazanami 20040629-9
ttf-ubuntu-font-family 0.83-1
tzdata 2015g-1
unrar 1:5.3.4-2
unzip 6.0-11
update-pacman-mirrorlist 20151127-1
upower 0.99.3-1
usbutils 008-1
util-linux 2.27.1-1
v4l-utils 1.6.3-3
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.2-1
vim 7.4.1089-1
vim-runtime 7.4.1089-1
vlc 2.2.1-11
vte 0.28.2-7
vte-common 0.42.1-2
wayland 1.9.0-1
which 2.21-1
wpa_supplicant 1:2.5-2
x265 1.8-3
xbindkeys 1.8.6-1
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-keysyms 0.4.0-1
xdg-utils 1.1.1-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.1-3
xf86-input-synaptics 1.8.3-2
xf86-video-ati 1:7.6.1-1
xf86vidmodeproto 2.3.1-3
xfce4-dev-tools 4.12.0-1
xfce4-indicator-plugin 2.3.3-2
xfce4-panel 4.12.0-1
xfce4-power-manager 1.4.4-1
xfce4-terminal 0.6.3-2
xfconf 4.12.0-2
xfsprogs 4.3.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.16-1
xmms2 0.8DrO_o.882.g942b17f-4
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.0-4
xorg-server-common 1.18.0-4
xorg-setxkbmap 1.3.1-1
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.4.3-1
xorg-xset 1.2.3-1
xproto 7.0.28-1
xvidcore 1.3.4-1
xz 5.2.2-1
yajl 2.1.0-1
yaourt 1.7-1
yelp-tools 3.18.0-1
yelp-xsl 3.18.1-1
zeromq 4.1.3-4
zlib 1.2.8-4
zvbi 0.2.35-1
zziplib 0.13.62-2
